What has the highest association precedence?	Function application.
What does ' mean in Haskell?	Nothing in particular. It's a legal identifier character often used at the end of an identifier to indicate a strictly evaluated function or a slightly modified function.
What is a function with no parameters called?	A <em>definition</em>, or a <em>name</em>.
Give the cons syntax.	<tt>el : list</tt>
How do you index a list?	<tt>list !! index</tt>
What is <tt>null</tt>?	A method for checking if a list is empty.<br><br>It should be preferred over:<br><pre>(list == [],true)</pre>
Unlike in Scala, lists of an ordinal type can be ...	... compared with ordering operators like <tt><</tt> and <tt>></tt>.
Check for membership in a list.	<pre>(elem el list,true)</pre><br><br>However, it's usually called in infix form.
How can you make a list range in decreasing order?	The step must be given explicitly:<br><pre>([20, 19..1],true)</pre>
Why should floating point numbers generally not be used in ranges?	Results are unintuitive, e.g., exceeding the "upper bound".
Name three ways to create infinite lists.	- Ranges with no upper bound, or with no lower bound.<br>- <tt>cycle list</tt><br>- <tt>repeat el</tt>
What's the finite version of <tt>repeat</tt>?	<pre>(replicate num el,true)</pre>
<tt>fst</tt> and <tt>snd</tt> only work on ...	... 2-tuples.
